,Tweets
0,"Gimana Malam Minggunya?
Dah dapet?"
1,RT @Anaknyagakbaik: @radenrauf Kasih tau cara dapetin kmu donk 🥺🥺 #lovestory https://t.co/DD4SR3Lvaq
2,RT @cuma_narasi: @radenrauf #LoveStory  Apa aku harus pakai asuransi biar dapet kamu yang always listening always understanding https://t.c…
3,"RT @aahnitta: @radenrauf Dasar otak,bukan nya di isi ilmu malah di isi kamu hehe

#LoveStory https://t.co/EI5ttZHWjy"
4,RT @merrynblla: @radenrauf Malming ujan udh pasti doa nya jomblo nih terkabul🤣 #lovestory https://t.co/U8FJx2ls5z
5,"DEAR TWITTER, PLEASEE DO YOUR MAGIC!

Biro Jodoh Love Story dimulai!!! 

Temukan jodoh untuk jomblo yang reply deng… https://t.co/Asuh2mszuV"
6,RT @stfusaff: @radenrauf bisa gtu sambelnya😭
7,RT @osealov: @radenrauf https://t.co/YcH5sigCJ1
8,RT @nadhifanfs_: @radenrauf Cuangki bang https://t.co/UFI2NFt2Ha
9,"Sore sore ujan ujan emang paling bener makan Bakso, mariii. https://t.co/nwFr6hy10C"
10,"Kalau dia ilang ilangan mulu positif thinking aja mungkin emang dia setan, wlwlwlw canda setan. 

Pacaran ko ilang… https://t.co/ZgNyn6u5xs"
11,RT @shilvi_setya: Tak de
12,RT @etra_pii: Tidur dg tenang setelah beberapa waktu ini lelah dihantam kerjaan dan lingkungan.
13,"Malam ini Malam Minggu, apa rencana menarikmu? Pasti ada dong ya kan."
14,"Giliran udah pergi nyesel, pas masih ada dicuekin. 
Kebiasaan."
15,Tidak semua orang berhak mendapatkan kesempatan kedua.
16,"Selamat buat para pemenang GrabFood #RestoLegendaris!
@rahmadsaifulhs @hollathemoon @nuranissaj @dieliatin… https://t.co/7IoFznpFHL"
17,"Nanti akan ada waktunya giliran kamu, Allah udah nyiapin yang terbaik. Jadi jangan berhenti sekarang ya."
18,"Ada hal hal yang memang lebih baik kita gatau aja, daripada malah bikin ga tenang dan sakit hati sendiri."
19,"You should be proud of yourself, for not giving up."
20,"Hidup itu sederhana, kadang pikiran kita yang membuatnya rumit."
21,"BESOK WEEKEND.
KAMU BERHAK BERSENANG SENANG."
22,Sesuatu yang didapatkan dengan kerja keras emang selalu lebih membahagiakan. https://t.co/35uyi9R4CV
23,"Hari Jumat hari baik, semoga hari ini penuh dengan kabar baik.
Tetap jadi orang baik ya."
24,"Banjir, macet dimana mana, capek ya?
Sama."
25,"Pengennya dihargai tapi tidak bisa menghargai orang lain, jangan gitu.

Satu lagi, jangan lupa menghargai diri send… https://t.co/HJVHaXtu8h"
26,"Mau sebaik apapun kamu, kalau dia gabisa menghargai ya tetep aja terlihat kurang terus."
27,Selamat berbuka puasa bagi yang menjalankannya 🥰 https://t.co/Lx66ALxcQS
28,Makin dewasa makin mencari ketenangan dalam hidup.
29,"Terlalu serius memikirkan ujungnya sampai lupa untuk menikmati prosesnya. 
Tetep enjoy your life ya👌🏻"
30,"Udah dewasa, temen dikit gapapa, yang penting temennya sama sama supportif aja, ga banyak drama."
31,Jangan ragu untuk melangkah pergi dari orang orang yang selalu bikin lu sakit hati.
32,"RT @anstsyakath: banyaakkk... ketawa ga jelasnya, gandeng tangan kemanapun, bahkan kalo ga malu digendong bakal digendong deh wkwk"
33,@Sesa_Opas Monmaap keluar bareng itu maksudnya jalan bareng kan? Ya kaaan
34,RT @Jihannblh: @radenrauf Act of servicenya
35,RT @HapsariYemima: @radenrauf His lovely and sweet texts
36,"RT @xxrstmsd: @radenrauf Lucu, slalu bisa bikin good mood, bisa cerita apapun"
37,Yang paling kamu kangenin dari dia apa?
38,Janji ga berantem sama pikiran sendiri?
39,"Love yourself first, yang lainnya bisa nanti."
40,RT @ceripuffs: @radenrauf @GrabID Bismillah menang. Menang dong pelase total savings hampir sejuta dikit lagi ygy #GrabUnlimited https://t.…
41,"RT @synthiabangun: @radenrauf @GrabID semoga ini rejeki aku, berhubung setengah gaji lari ke Grab semua.. 🤣 #GrabUnlimited https://t.co/p5K…"
42,RT @cheesyclou: @radenrauf @GrabID Total savings ni kak #GrabUnlimited yuk bisa yuk 😍🥰 https://t.co/HJPC6j5eG1
43,RT @anazadsu_22: @radenrauf @GrabID Total Savings ku #GrabUnlimited https://t.co/CIYQYcoogH
44,RT @loireorzla: @radenrauf @GrabID HUAAAA MAUUUU BISMILLAH MANTAP DAHUYYYY🤸🏻‍♀️🏋🏻‍♀️  #GrabUnlimited https://t.co/5wP4pOFzxp
45,RT @hellokeny: @radenrauf @GrabID #GrabUnlimited udah hemat segini om hehe 💚 https://t.co/AqNwIIcEYz
46,"Gais, buat yang bingung. Jadi yang udah langganan #GrabUnlimited:
1. kalian buka aplikasi Grab, 
2. masuk ke ""Accou… https://t.co/F1Lne2OzkK"
47,"GIVEAWAY 3 iPhone 12 Mini &amp; OVO Cash 5JT (500rb/org)!

Jadi gua sama @grabid mau bikin giveaway utk dibagi ke 13 or… https://t.co/ulMdFQtcDu"
48,"GIVEAWAY iPhone!!!

Gua mau bagi-bagi 3 iPhone 12 Mini sama OVO Cash total 5JUTA!

RT dulu twit ini dan RT twit set… https://t.co/J1m7Ax6A2V"
49,"RT @amyourss_: Gamau ah, mau ngamuk aja"
50,Tetap jadi baik ya.
51,"Yang terlihat kuat, bisa jadi sedang menyembunyikan masalah yang berat.
Sekuat apapun seseorang, kadang juga butuh… https://t.co/n4tOpIhtTz"
52,"Tidak semua hal harus selalu sesuai kemauan kamu, inget ada orang lain juga, jangan egois."
53,"Kadang kita perlu diam meskipun sudah tau apa yang sebenarnya terjadi, pengen liat aja dia jujur apa kaga."
54,"Pesan malam ini:
Jangan ngandelin orang lain, yang bisa kamu andalkan cuma diri kamu sendiri."
55,"Jangan berharap banyak sama manusia, lebih banyak kecewanya."
56,"Jika memang untukmu, Allah akan permudah jalannya."
57,Orang sabar kalau sampe marah biasanya serem.
58,Oktober belum ada seminggu udah puyeng aja.
59,RT @zaaaaarrrrrrrr: hooh tenan
60,RT @marrieloey: affh iyh?
61,RT @07arturrr: Urusan nya sama gua apaa anjjg wkwkwk
62,"Kalau mantan kamu bilang:

""Aku sudah menemukan yang lebih baik dari kamu, aku lebih bahagia sekarang""

Kamu bakal jawab apa?"
63,"Ko belum tidur, ngapain?"
64,"Jangan cuma mau dimengerti, cobalah untuk mengerti orang lain juga."
65,Kalau emang dia sayang ya dia paham cara mengerti dan menghargai kamu.
66,Setiap orang punya caranya masing-masing untuk mencintai.
67,RT @ignatiuswisnu01: it goes📈📈📉📉📉📉📈📈📉📉📈📉📉📈📈📈📈📉📉📉📉📈📉📈📈📈
68,RT @galihwicaksana_: pengen teriak jancokkk
69,"@widiasitaurus1 Ya Allah :(
Turut berduka yang terdalam :("
70,RT @widiasitaurus1: Full berduka kehilangan sepupu terbaik akibat tragedi bola kemarin:(
71,"Gimana kabarnya Senin pertama di Bulan Oktober?
Full senyum kan? Ya kan ya dong"
72,"Senin pertama di Bulan Oktober, semoga semua baik baik saja."
73,BESOK SENIN
74,"Turut berduka yang sedalam-dalamnya, atas jatuhnya korban jiwa dalam pertandingan Arema VS Persebaya di stadion Kan… https://t.co/CUoDxM0Kfn"
75,"Gimana semalem Malam Minggu pertama di Bulan Oktober?

Dapet?"
76,Gimana kabarnya Oktober hari pertama?
77,"Malam ini Malam Minggu, apa rencana menarik kamu?"
78,"Ya Allah semoga Oktober penuh berkah, aamiin."
79,"Baik baik ya Oktober, please banget ini."
80,"Selamat datang Oktober, semoga penuh dengan kabar baik."
81,Bisa tidur cepet tanpa overthinking dulu adalah sebuah kebahagiaan tersendiri.
82,"September kali ini emang agak agak sadtember ya, hhu"
83,"RT @amyourss_: Tired af, pengen dipeluk kekayaan"
84,RT @RIZKIDEDIUTOMO1: September full senyum pokok e✨
85,"RT @nadiadhanin: complicated, butuh uang BANGETT"
86,"Jadi apa kabar September kamu?
Happy
Sad
Complicated
Tired af
Butuh uang"
87,"Terima kasih September, kali ini berasa banget :)"
88,"September bener bener ngerasain naik turun naik turun naik hhu
Semoga nanti Oktober naik naik terus ya kita semua, aamiin"
89,"Ya Allah, lindungilah inisial R yang baik baik."
90,"Ya namanya juga hidup, ada aja bgstnya."
91,RT @schnooglealy: @radenrauf cuma reyhan doang yg baiqq
92,"Tidak semua inisial R brengsek, banyak juga yang baik, asli dah."
93,Ga ada
94,Dari inisial R kita belajar bahwa.....
95,"Inisial R biasanya baik baik, yang brengsek itu oknum 😌"
96,"Sudah bangun?
Atau malah belum tidur?"
97,Inisial R kenape lagi?
98,"Orang kalau udah terlanjur sayang, ngeliat banyak red flag bisa diabaikan dan ditolerir dengan berbagai pembenaran,… https://t.co/6pYuO5pkMF"
99,"RT @HeartWhisper16: @radenrauf Tergantung kondisi, kadang bisa jadi 4 orang"
100,"Kamu aslinya dua orang ya?
Ko beda di sosmed sama aslinya?"
101,"Saget mbake, asline kulo Kudus ko. https://t.co/NX4IiK0b7A"
102,"Ya namanya menjalin hubungan pasti ada aja masalahnya, tidak mungkin mulus mulus aja. Itulah yg bikin kita belajar… https://t.co/3GWTpGgSXW"
103,"Pengen liat seseorang bahagia, liat instagramnya.

Jangan liat twitternya, isine sambat kabeh."
104,"Yang kita lihat manis di sosial media, belum tentu aslinya begitu.

Couple goals couple goals di sosmed apaan, emak… https://t.co/M9USVGiTI4"
105,RT @zarryhendrik: Kamu jangan deketin aku dulu. Utangku banyak.
106,"Gaes, yang butuh caption, ucapan manis dan lucu untuk gebetan, pasangan, script kempen, pidato politik pun ada, mau… https://t.co/Y7VFKeAqAM"
107,"Pesan malam ini:
Perjuangkan apa yang kamu inginkan dalam hidup, karena kalau bukan kamu yang memperjuangkannya, siapa lagi."
108,"Selamat berbuka puasa buat yang menjalankannya, semoga berkah. https://t.co/noESjU3WvR"
109,"Di mulut sih bilang tak lagi peduli, padahal hatinya masih mencari. 

Ada.
Banyaak."
110,"Belajarlah mengungkapkan apa yang kamu rasakan, jangan cuma diam.
Kalau ga suka ya bilang, kalau cemburu ya bilang,… https://t.co/C44jaQhPYK"
111,"Udah akhir September aja.
Terima kasih ya September atas warna warninya, berasa banget nampol asli."
112,Yo ndak mampu ~
113,"Ujannya deres banget, kamu gapapa kan?"
114,"Carilah pasangan yang bukan cuma bucin cinta cintaan tapi juga bisa bikin bertumbuh sama sama menjadi lebih baik, s… https://t.co/8lQEVI3f9X"
115,RT @maliibunightt: punya banyak duit
116,"RT @Kimjuan0298: @radenrauf Banyak pengukurannya menurutku, tapi kalau untuk pribadi aku yg tipe siap mental dan finansial ga muluk"" Harus…"
117,RT @aninasulhi: XL kalo ngga ya XXL paling
118,"RT @Anas23801266: Agama, mental, finansial"
119,RT @fiorenza_nad: Udah ada pasangannya kak
120,"RT @Chokieee_: @radenrauf - Pekerjaan tetap 
- Kendaraan sederhana gpp yg penting berfungsi
- Tabungan dana darurat
- Asuransi kesehatan
-…"
121,"RT @cuma_narasi: @radenrauf Yang udah punya pekerjaan tetap, punya dana darurat, punya rumah malau masih kpr gpp"
122,"Dipersempit pertanyaannya.
Menurut kamu, seseorang sudah siap nikah secara materi, ukurannya apa?"
123,"Menurut kamu, seseorang sudah siap nikah itu ukurannya apa?"
124,RT @TiffanyyEuu: anak pertama harus kuat
125,Kita sering ga sadar kalau sesuatu yang kita tunggu tunggu justru seringnya datang ketika kita udah ga nyari nyari… https://t.co/Ib0gL8kFa5
126,"RT @marsupilamit_: Masih, cuma yg kiri udah agak doyong, tanda catatan malaikat atid dah banyak"
127,"RT @frxalled: Kalau boleh jujur sih, udah rapuh. Tapi gapapa nanti aku tambal pake semen tiga roda biar kokoh selamanya."
