,tanggal_tweet,pengguna,Tweet,sentimen
0,2022-10-31 03:52:27+00:00,kholismlna,@radenrauf Iya berasa bgt patah hatinya kak😢,0
1,2022-10-31 03:49:39+00:00,itpeso,"@radenrauf Makasih yaa semua nyaa ,, senanggg sekalii akuu 🖤🖤",0
2,2022-10-31 03:45:59+00:00,Viravirrr16,@radenrauf Oktober yang berantakan !,0
3,2022-10-31 03:43:54+00:00,dwyaaay,"@radenrauf parkiran?

https://t.co/38fjT8917I https://t.co/T2eB2DyWmr",0
4,2022-10-31 03:40:42+00:00,missemha05,@radenrauf Parkiran 🤪,0
5,2022-10-31 03:40:25+00:00,BELIEVEIN93,@radenrauf Terima kasih Oktober... Selalu semangat untuk menyebarkan lamaran kerja dan flyer les bahasa Inggris ku 🙏 https://t.co/xjAuA82SrF,0
6,2022-10-31 03:38:09+00:00,BeliaSania,RT @radenrauf: Tebak Lokasi https://t.co/3sRj9DLr9l,0
7,2022-10-31 03:37:22+00:00,pecandulotekk,@radenrauf bojong sari,0
8,2022-10-31 03:37:16+00:00,Craz01_,"@radenrauf yang akhir bulan malah sakit, cung",0
9,2022-10-31 03:35:26+00:00,Melanileryanzee,RT @cip833: @radenrauf Badai hujan angin puting beliungnya dapet semua di oktober 😌,0
10,2022-10-31 03:34:39+00:00,RAprianti244,@radenrauf Ngapain? Makan bakso?,0
11,2022-10-31 03:34:37+00:00,Ayuadl,@radenrauf Oktober yg indah buatku✨,0
12,2022-10-31 03:34:18+00:00,EstiMumpuni1,"@radenrauf Terima kasih Oktober, walaupun warna nya kebanyakan hitamnya",0
13,2022-10-31 03:30:24+00:00,denver0512,@radenrauf Fix parkiran mobil.,0
14,2022-10-31 03:28:19+00:00,itsmeojenn,@radenrauf oktober becandanya kelewatan ya..,0
15,2022-10-31 03:25:50+00:00,christiannbrian,@radenrauf bsd tangerang,0
16,2022-10-31 03:25:34+00:00,Linaazlina7,@radenrauf Benar banget.Healing gak perlu ke tempat yg jauh2 tapi cukup sekadar istirehat dirumah aja..yg penting k… https://t.co/Iz8jbL2m6R,0
17,2022-10-31 03:24:53+00:00,thingsyouuneed,"@radenrauf Banyak hal baik di Oktober. Thnk u❤
https://t.co/fA5X7cCPtO",0
18,2022-10-31 03:23:27+00:00,alyshaasatoruo,@radenrauf pinggir jalan,0
19,2022-10-31 03:16:15+00:00,_c1nd3rella,"@radenrauf gak perlu jauh, yang penting bisa rehat tanpa rasa khawatir aja udah cukup",0
20,2022-10-31 03:15:19+00:00,Gondrongggggggg,"@itpeso @radenrauf Selamat ulang tahun sep,semoga panjang umur dan selalu diberikan kesehatan,aamiin 🤲🏻",0
21,2022-10-31 03:15:00+00:00,dwntawhyni,@zidnylthfa @radenrauf Mau dong xixi,0
22,2022-10-31 03:13:33+00:00,00_octane,"@itpeso @radenrauf Selamat ulang tahun kak
Tanggal lahir kita sama, tahun aja yang beda",0
23,2022-10-31 03:10:59+00:00,tegarsyelalu,"@radenrauf @AmandaViaayy Udh ga kaget lagi hari senin, soalnya pengangguran wkwk",0
24,2022-10-31 03:10:39+00:00,junirachmatp,@radenrauf Gak kerasa apa-apa,0
25,2022-10-31 03:09:59+00:00,watsapmod,RT @tapiachaa: @radenrauf byee oktober plis november kalo gabisa baik jangan jadi jahat kek dia :),0
26,2022-10-31 03:08:44+00:00,Ceasperrr,@radenrauf Parkiran mobil,0
27,2022-10-31 03:07:26+00:00,cookiezn1,badjingane bgt loe oktober https://t.co/Ylo6aS7XFl,0
