;Tweet;sentimen;step01;tokens;final_tokens;step02;ProcessedText
0;@radenrauf Iya berasa bgt patah hatinya kak😢;0;user iya berasa bgt patah hatinya kak;['user', 'iya', 'berasa', 'bgt', 'patah', 'hatinya', 'kak'];['user', 'iya', 'berasa', 'banget', 'patah', 'hatinya', 'kak'];user iya berasa banget patah hatinya kak;user iya asa banget patah hati kak
1;@radenrauf Makasih yaa semua nyaa ,, senanggg sekalii akuu 🖤🖤;0;user makasih yaa semua nyaa senanggg sekalii akuu;['user', 'makasih', 'yaa', 'semua', 'nyaa', 'senanggg', 'sekalii', 'akuu'];['user', 'makasih', 'iya', 'semua', 'nyaa', 'senanggg', 'sekalii', 'akuu'];user makasih iya semua nyaa senanggg sekalii akuu;user makasih iya semua nyaa senanggg sekali akuu
2;@radenrauf Oktober yang berantakan !;0;user oktober yang berantakan;['user', 'oktober', 'yang', 'berantakan'];['user', 'oktober', 'yang', 'berantakan'];user oktober yang berantakan;user oktober beranta
3;"@radenrauf parkiran?

https://t.co/38fjT8917I https://t.co/T2eB2DyWmr";0;user parkiran co38fjt8917i cot2eb2dywmr;['user', 'parkiran', 'co38fjt8917i', 'cot2eb2dywmr'];['user', 'parkiran', 'co38fjt8917i', 'cot2eb2dywmr'];user parkiran co38fjt8917i cot2eb2dywmr;user parkir co38fjt8917i cot2eb2dywmr
4;@radenrauf Parkiran 🤪;0;user parkiran;['user', 'parkiran'];['user', 'parkiran'];user parkiran;user parkir
5;@radenrauf Terima kasih Oktober... Selalu semangat untuk menyebarkan lamaran kerja dan flyer les bahasa Inggris ku 🙏 https://t.co/xjAuA82SrF;0;user terima kasih oktober selalu semangat untuk menyebarkan lamaran kerja dan flyer les bahasa inggris ku coxjaua82srf;['user', 'terima', 'kasih', 'oktober', 'selalu', 'semangat', 'untuk', 'menyebarkan', 'lamaran', 'kerja', 'dan', 'flyer', 'les', 'bahasa', 'inggris', 'ku', 'coxjaua82srf'];['user', 'terima', 'kasih', 'oktober', 'selalu', 'semangat', 'untuk', 'menyebarkan', 'lamaran', 'kerja', 'dan', 'flyer', 'les', 'bahasa', 'inggris', 'ku', 'coxjaua82srf'];user terima kasih oktober selalu semangat untuk menyebarkan lamaran kerja dan flyer les bahasa inggris ku coxjaua82srf;user terima kasih oktober selalu semangat sebar lamar kerja flyer les bahasa inggris ku coxjaua82srf
6;RT @radenrauf: Tebak Lokasi https://t.co/3sRj9DLr9l;0;rt user tebak lokasi co3srj9dlr9l;['rt', 'user', 'tebak', 'lokasi', 'co3srj9dlr9l'];['rt', 'user', 'tebak', 'lokasi', 'co3srj9dlr9l'];rt user tebak lokasi co3srj9dlr9l;rt user tebak lokasi co3srj9dlr9l
7;@radenrauf bojong sari;0;user bojong sari;['user', 'bojong', 'sari'];['user', 'bojong', 'sari'];user bojong sari;user bojong sari
8;@radenrauf yang akhir bulan malah sakit, cung;0;user yang akhir bulan malah sakit cung;['user', 'yang', 'akhir', 'bulan', 'malah', 'sakit', 'cung'];['user', 'yang', 'akhir', 'bulan', 'malah', 'sakit', 'cung'];user yang akhir bulan malah sakit cung;user akhir bulan malah sakit cung
9;RT @cip833: @radenrauf Badai hujan angin puting beliungnya dapet semua di oktober 😌;0;rt user user badai hujan angin puting beliungnya dapet semua di oktober;['rt', 'user', 'user', 'badai', 'hujan', 'angin', 'puting', 'beliungnya', 'dapet', 'semua', 'di', 'oktober'];['rt', 'user', 'user', 'badai', 'hujan', 'angin', 'puting', 'beliungnya', 'mendapat', 'semua', 'di', 'oktober'];rt user user badai hujan angin puting beliungnya mendapat semua di oktober;rt user user badai hujan angin puting beliung dapat semua oktober
10;@radenrauf Ngapain? Makan bakso?;0;user ngapain makan bakso;['user', 'ngapain', 'makan', 'bakso'];['user', 'ngapain', 'makan', 'bakso'];user ngapain makan bakso;user ngapain makan bakso
11;@radenrauf Oktober yg indah buatku✨;0;user oktober yg indah buatku;['user', 'oktober', 'yg', 'indah', 'buatku'];['user', 'oktober', 'yang', 'indah', 'buatku'];user oktober yang indah buatku;user oktober indah buat
12;@radenrauf Terima kasih Oktober, walaupun warna nya kebanyakan hitamnya;0;user terima kasih oktober walaupun warna nya kebanyakan hitamnya;['user', 'terima', 'kasih', 'oktober', 'walaupun', 'warna', 'nya', 'kebanyakan', 'hitamnya'];['user', 'terima', 'kasih', 'oktober', 'walaupun', 'warna', 'nya', 'kebanyakan', 'hitamnya'];user terima kasih oktober walaupun warna nya kebanyakan hitamnya;user terima kasih oktober walaupun warna nya banyak hitam
13;@radenrauf Fix parkiran mobil.;0;user fix parkiran mobil;['user', 'fix', 'parkiran', 'mobil'];['user', 'pasti', 'parkiran', 'mobil'];user pasti parkiran mobil;user parkir mobil
14;@radenrauf oktober becandanya kelewatan ya..;0;user oktober becandanya kelewatan ya;['user', 'oktober', 'becandanya', 'kelewatan', 'ya'];['user', 'oktober', 'becandanya', 'kelewatan', 'iya'];user oktober becandanya kelewatan iya;user oktober becandanya lewat iya
15;@radenrauf bsd tangerang;0;user bsd tangerang;['user', 'bsd', 'tangerang'];['user', 'bsd', 'tangerang'];user bsd tangerang;user bsd tangerang
